기능,요청 주체,메소드 타입,URI,요청 Headers,요청 Body,수신 주체,응답 코드,응답 Headers,응답 Body,비고
로그인 (성공),VMS-Client,POST,/auth/login,Content-Type: application/json,"{""id"": ""id"", ""pw"":""pw""}",VMS-Server,200 OK,Content-Type: application/json,"{
    ""ok"": true,
    ""data"": {
        ""accessToken"": ""JwtToken"",
        ""expiresIn"": 3600,
        ""issuedAt"": ""발급 기준 UTC 시간""
    },
    ""error"": null
}",
"로그인 (실패, 필수 필드 누락)",VMS-Client,POST,/auth/login,Content-Type: application/json,"{""id"": ""id"", ""pw"":""pw""}",VMS-Server,400 Bad Request,Content-Type: application/json,"{
    ""ok"": false,
    ""data"": null,
    ""error"": {
        ""code"": ""INVALID_ARGUMENT""
    }
}",
"로그인 (실패, 아이디/비밀번호 불일치)",VMS-Client,POST,/auth/login,Content-Type: application/json,"{""id"": ""id"", ""pw"":""pw""}",VMS-Server,401 Unauthorized,Content-Type: application/json,"{
    ""ok"": false,
    ""data"": null,
    ""error"": {
        ""code"": ""AUTH_INVALID_CREDENTIALS""
    }
}",
로그아웃 (성공),VMS-Client,POST,/auth/logout,Authorization: Bearer <accessToken>,,VMS-Server,200 OK,Content-Type: application/json,"{""ok"": true, ""error"": null}",
"로그아웃 (실패, / 잘못된 토큰)",VMS-Client,POST,/auth/logout,Authorization: Bearer <accessToken>,,VMS-Server,401 Unauthorized,Content-Type: application/json,"{
    ""ok"": true,
    ""error"": {
        ""code"": ""AUTH_INVALID_TOKEN""
    }
}",
회원가입 (성공),VMS-Client,POST,/auth/signup,Content-Type: application/json,"{""name"": ""name"", ""id"": ""id"", ""pw"": ""pw""}",VMS-Server,201 Created,Content-Type: application/json,"{""ok"": true, ""error"": null}",
"회원가입 (실패, ID 중복)",VMS-Client,POST,/auth/signup,Content-Type: application/json,"{""name"": ""name"", ""id"": ""id"", ""pw"": ""pw""}",VMS-Server,409 Conflict,Content-Type: application/json,"{
    ""ok"": false,
    ""error"": {
        ""code"": ""AUTH_LOGINID_ALREADY_EXISTS""
    }
}",
장치 목록 조회,VMS-Client,GET,/devices,"Accept : application/json
Authorization: Bearer <accessToken>",,VMS-Server,200 OK,Content-Type: application/json,"{
    ""ok"": true,
    ""data"": [
        {
            ""deviceId"": 11,
            ""name"": ""CCTV1"",
            ""type"": ""CCTV"",
            ""ip"": ""192.168.1.101"",
            ""model"": ""Hanwha XNO-8080"",
            ""online"": false,
            ""health"": ""DOWN"",
            ""channelCount"": 2
        },
        {
            ""deviceId"": 20,
            ""name"": ""UGV 1"",
            ""type"": ""UGV"",
            ""ip"": ""192.168.1.200"",
            ""model"": ""UGV-X1"",
            ""online"": true,
            ""health"": ""OK"",
            ""channelCount"": 2
        }
    ],
    ""error"": null
}",
장치 채널 조회,VMS-Client,GET,/device/{deviceId}/channels,"Accept : application/json
Authorization: Bearer <accessToken>",,VMS-Server,200 OK,Content-Type: application/json,"{
    ""ok"": true,
    ""data"": [
        {
            ""channelId"": 101,
            ""channelNo"": 0,
            ""name"": ""CH1""
        },
        {
            ""channelId"": 102,
            ""channelNo"": 1,
            ""name"": ""CH2""
        }
    ],
    ""error"": null
}",
채널 상세 조회,VMS-Client,GET,/channel/{channelId},"Accept : application/json
Authorization: Bearer <accessToken>",,VMS-Server,200 OK,Content-Type: application/json,"{
    ""ok"": true,
    ""data"": {
        ""deviceId"": 20,
        ""channelId"": 101,
        ""channelNo"": 0,
        ""name"": ""CH1"",
        ""videoCodec"": ""H264"",
        ""audioCodec"": ""AAC"",
        ""rtsp"": ""rtsp://192.168.0.69:554/0/onvif/profile1/media.smp""
    },
    ""error"": null
}",
